word,EU,USA,need_location
polarvortex,"warm, windy","warm, windy",0
PV,"warm, windy","warm, windy",0
SSW,cold,cold,0
stratospheric warming,cold,cold,0
NAOnegative,"cold, not windy","cold, not windy",0
NAO-,"cold, not windy","cold, not windy",0
SSTs,warm,warm,0
NAO,"warm, windy","warm, windy",0
blocking,"cold, less windy","cold, less windy",0
scandiblock,"cold, less windy","cold, less windy",0
northerly,"cold, windy","cold, windy",0
BeastfromTheEast,cold,cold,0
storm,"cold, windy","cold, windy",1
